stimuli;trialType;blockTrial;blockNum
NA;1;1;5
NA;1;2;5
NA;1;3;5
NA;1;4;5
NA;1;5;5
NA;1;6;5
NA;2;7;5
TP;5;8;5
NA;1;9;5
NA;1;10;5
NA;1;11;5
NA;1;12;5
NA;1;13;5
NA;1;14;5
NA;1;15;5
NA;1;16;5
NA;1;17;5
NA;1;18;5
NA;1;19;5
NA;1;20;5
ownConcern1;3;21;5
ownConcern1;3;22;5
ownConcern1;3;23;5
NA;1;24;5
NA;1;25;5
NA;1;26;5
NA;1;27;5
NA;2;28;5
TP;5;29;5
NA;1;30;5
NA;1;31;5
otherConcern1;4;32;5
otherConcern1;4;33;5
otherConcern1;4;34;5
NA;1;35;5
NA;1;36;5
NA;1;37;5
NA;1;38;5
NA;2;39;5
TP;5;40;5
NA;1;41;5
NA;1;42;5
NA;2;43;5
NA;1;44;5
NA;2;45;5
NA;1;46;5
NA;1;47;5
NA;1;48;5
NA;1;49;5
NA;1;50;5
NA;1;51;5
NA;1;52;5
NA;1;53;5
NA;1;54;5
NA;2;55;5
TP;5;56;5
NA;1;57;5
NA;1;58;5
NA;1;59;5
NA;1;60;5
NA;1;61;5
NA;1;62;5
NA;1;63;5
NA;1;64;5
NA;1;65;5
NA;1;66;5
NA;1;67;5
NA;1;68;5
ownConcern1;3;69;5
ownConcern1;3;70;5
ownConcern1;3;71;5
NA;1;72;5
NA;1;73;5
NA;1;74;5
NA;1;75;5
NA;2;76;5
TP;5;77;5
NA;1;78;5
NA;1;79;5
otherConcern1;4;80;5
otherConcern1;4;81;5
otherConcern1;4;82;5
NA;1;83;5
NA;1;84;5
NA;1;85;5
NA;1;86;5
NA;2;87;5
TP;5;88;5
NA;1;89;5
NA;1;90;5
NA;2;91;5
NA;1;92;5
NA;2;93;5
NA;1;94;5
NA;1;95;5
NA;1;96;5
