stimuli;trialType;blockTrial;blockNum
distinction;1;1;1
preview;1;2;1
agility;1;3;1
infection;1;4;1
lark;1;5;1
delirium;1;6;1
perjury;1;7;1
emporium;1;8;1
student;1;9;1
equity;1;10;1
demon;1;11;1
peach;1;12;1
pencil;1;13;1
sauce;1;14;1
meat;1;15;1
EMANCIPATION;2;16;1
TP;5;17;1
mercy;1;18;1
rubble;1;19;1
abdomen;1;20;1
thistledown;1;21;1
stain;1;22;1
SCORPION;2;23;1
trumpet;1;24;1
pudding;1;25;1
examination;1;26;1
gingham;1;27;1
NEWSPAPER;2;28;1
TP;5;29;1
admiral;1;30;1
goblet;1;31;1
priest;1;32;1
antitoxin;1;33;1
convention;1;34;1
derelict;1;35;1
pressure;1;36;1
mammal;1;37;1
MURDER;2;38;1
TP;5;39;1
love;1;40;1
SKY;2;41;1
sheepskin;1;42;1
distinction;1;43;1
preview;1;44;1
agility;1;45;1
infection;1;46;1
lark;1;47;1
delirium;1;48;1
perjury;1;49;1
emporium;1;50;1
student;1;51;1
equity;1;52;1
demon;1;53;1
peach;1;54;1
pencil;1;55;1
sauce;1;56;1
meat;1;57;1
EMANCIPATION;2;58;1
TP;5;59;1
mercy;1;60;1
rubble;1;61;1
abdomen;1;62;1
thistledown;1;63;1
stain;1;64;1
SCORPION;2;65;1
trumpet;1;66;1
pudding;1;67;1
examination;1;68;1
gingham;1;69;1
NEWSPAPER;2;70;1
TP;5;71;1
admiral;1;72;1
goblet;1;73;1
priest;1;74;1
antitoxin;1;75;1
convention;1;76;1
derelict;1;77;1
pressure;1;78;1
mammal;1;79;1
MURDER;2;80;1
TP;5;81;1
love;1;82;1
SKY;2;83;1
sheepskin;1;84;1
