stimuli;trialType;blockTrial;blockNum
tas;1;1;6
ijs;1;2;6
huwelijk;1;3;6
stukje;1;4;6
rare;1;5;6
prachtige;1;6;6
tekenen;1;7;6
RICHTING;2;8;6
TP;5;9;6
passen;1;10;6
leer;1;11;6
minuut;1;12;6
bedacht;1;13;6
WAAROP;2;14;6
gezocht;1;15;6
lees;1;16;6
wonder;1;17;6
grap;1;18;6
gebouw;1;19;6
lach;1;20;6
terugkomen;1;21;6
raakte;1;22;6
lift;1;23;6
relatie;1;24;6
beslissing;1;25;6
aangenaam;1;26;6
KRANT;2;27;6
TP;5;28;6
woon;1;29;6
verboden;1;30;6
lot;1;31;6
rechts;1;32;6
BIJZONDER;2;33;6
feit;1;34;6
besloten;1;35;6
heer;1;36;6
VOLGT;2;37;6
TP;5;38;6
seconden;1;39;6
trap;1;40;6
bereid;1;41;6
allen;1;42;6
tas;1;43;6
ijs;1;44;6
huwelijk;1;45;6
stukje;1;46;6
rare;1;47;6
prachtige;1;48;6
tekenen;1;49;6
RICHTING;2;50;6
TP;5;51;6
passen;1;52;6
leer;1;53;6
minuut;1;54;6
bedacht;1;55;6
WAAROP;2;56;6
gezocht;1;57;6
lees;1;58;6
wonder;1;59;6
grap;1;60;6
gebouw;1;61;6
lach;1;62;6
terugkomen;1;63;6
raakte;1;64;6
lift;1;65;6
relatie;1;66;6
beslissing;1;67;6
aangenaam;1;68;6
KRANT;2;69;6
TP;5;70;6
woon;1;71;6
verboden;1;72;6
lot;1;73;6
rechts;1;74;6
BIJZONDER;2;75;6
feit;1;76;6
besloten;1;77;6
heer;1;78;6
VOLGT;2;79;6
TP;5;80;6
seconden;1;81;6
trap;1;82;6
bereid;1;83;6
allen;1;84;6
